county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Absentee,462
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Election,628
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,DEM,Democratic Party,302
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,REP,Republican Party,365
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,LIB,Libertarian Party,4
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,WCP,Working Class Party,0
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,GRN,Green Party,1
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Cast Votes,672
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Undervotes,575
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Absentee,640
Livingston,"Brighton Charter Township,Precinct 3",Straight Party,,,Election,607
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,DEM,Democratic Party,206
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,REP,Republican Party,311
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,LIB,Libertarian Party,1
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,WCP,Working Class Party,0
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,GRN,Green Party,0
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Cast Votes,519
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Undervotes,537
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Absentee,490
Livingston,"Brighton Charter Township,Precinct 4",Straight Party,,,Election,566
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,DEM,Democratic Party,166
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,REP,Republican Party,235
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,LIB,Libertarian Party,1
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,WCP,Working Class Party,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,GRN,Green Party,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Cast Votes,402
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Undervotes,282
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Absentee,260
Livingston,"Brighton Charter Township,Precinct 5",Straight Party,,,Election,424
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,DEM,Democratic Party,350
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,REP,Republican Party,551
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,LIB,Libertarian Party,4
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,WCP,Working Class Party,2
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,GRN,Green Party,0
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Cast Votes,908
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Undervotes,972
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 6",Straight Party,,,Absentee,832
