county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,LIB,Gregory Scott Stempfle,17
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,UST,Christine C. Schwartz,5
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,GRN,Larry James Hutchinson Jr.,1
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Cast Votes,1031
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Undervotes,25
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Absentee,490
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Election,566
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,,Total,1056
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,DEM,Jocelyn Benson,328
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,REP,Kristina Elaine Karamo,328
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,LIB,Gregory Scott Stempfle,12
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,UST,Christine C. Schwartz,4
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,GRN,Larry James Hutchinson Jr.,1
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Cast Votes,673
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Undervotes,10
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Absentee,260
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Election,424
Livingston,"Brighton Charter Township,Precinct 5",Secretary of State,,,Total,684
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,DEM,Jocelyn Benson,866
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,REP,Kristina Elaine Karamo,945
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,LIB,Gregory Scott Stempfle,13
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,UST,Christine C. Schwartz,9
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,GRN,Larry James Hutchinson Jr.,3
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Cast Votes,1836
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Undervotes,40
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Overvotes,4
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Absentee,832
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Election,1048
Livingston,"Brighton Charter Township,Precinct 6",Secretary of State,,,Total,1880
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,DEM,Jocelyn Benson,604
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,REP,Kristina Elaine Karamo,728
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,LIB,Gregory Scott Stempfle,14
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,UST,Christine C. Schwartz,12
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,GRN,Larry James Hutchinson Jr.,2
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Cast Votes,1360
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Undervotes,23
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Absentee,659
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Election,724
Livingston,"Brighton Charter Township,Precinct 7",Secretary of State,,,Total,1383
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,DEM,Jocelyn Benson,423
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,REP,Kristina Elaine Karamo,464
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,LIB,Gregory Scott Stempfle,11
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,UST,Christine C. Schwartz,1
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,GRN,Larry James Hutchinson Jr.,2
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Cast Votes,901
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Undervotes,10
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Absentee,430
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Election,481
Livingston,"Brighton Charter Township,Precinct 8",Secretary of State,,,Total,911
Livingston,"Brighton Charter Township,Precinct 9",Secretary of State,,DEM,Jocelyn Benson,925
