county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Absentee,832
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Election,1048
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Total,1880
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,DEM,Jordan Genso,476
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,REP,Lana L. Theis,822
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,LIB,Jon Elgas,20
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,UST,Victoria McCasey,7
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Cast Votes,1325
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Undervotes,58
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Absentee,659
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Election,724
Livingston,"Brighton Charter Township,Precinct 7",State Senate,37,,Total,1383
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,DEM,Jordan Genso,314
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,REP,Lana L. Theis,557
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,LIB,Jon Elgas,10
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,UST,Victoria McCasey,8
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Cast Votes,889
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Undervotes,20
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Rejected,2
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Absentee,430
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Election,481
Livingston,"Brighton Charter Township,Precinct 8",State Senate,37,,Total,911
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,DEM,Jordan Genso,713
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,REP,Lana L. Theis,1213
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,LIB,Jon Elgas,37
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,UST,Victoria McCasey,12
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Cast Votes,1975
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Undervotes,66
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Absentee,1073
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Election,968
Livingston,"Brighton Charter Township,Precinct 9",State Senate,37,,Total,2041
Livingston,"Cohoctah Township, Precinct1",State Senate,37,DEM,Jordan Genso,444
Livingston,"Cohoctah Township, Precinct1",State Senate,37,REP,Lana L. Theis,1304
Livingston,"Cohoctah Township, Precinct1",State Senate,37,LIB,Jon Elgas,30
Livingston,"Cohoctah Township, Precinct1",State Senate,37,UST,Victoria McCasey,18
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Cast Votes,1796
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Undervotes,64
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Overvotes,0
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Rejected,1
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Unassigned,0
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Absentee,682
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Election,1179
Livingston,"Cohoctah Township, Precinct1",State Senate,37,,Total,1861
Livingston,"Conway Township, Precinct 1",State Senate,37,DEM,Jordan Genso,422
Livingston,"Conway Township, Precinct 1",State Senate,37,REP,Lana L. Theis,1333
Livingston,"Conway Township, Precinct 1",State Senate,37,LIB,Jon Elgas,33
