county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,UST,Gerald T. Van Sickle,10
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Cast Votes,1819
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Undervotes,59
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Rejected,1
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Absentee,832
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Election,1048
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,,Total,1880
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,DEM,Dana Nessel,552
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,REP,Matthew DePerno,770
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,LIB,Joseph W. McHugh Jr.,17
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,UST,Gerald T. Van Sickle,4
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Cast Votes,1343
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Undervotes,39
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Absentee,659
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Election,724
Livingston,"Brighton Charter Township,Precinct 7",Attorney General,,,Total,1383
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,DEM,Dana Nessel,372
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,REP,Matthew DePerno,499
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,LIB,Joseph W. McHugh Jr.,13
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,UST,Gerald T. Van Sickle,2
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Cast Votes,886
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Undervotes,23
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Rejected,1
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Absentee,430
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Election,481
Livingston,"Brighton Charter Township,Precinct 8",Attorney General,,,Total,911
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,DEM,Dana Nessel,822
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,REP,Matthew DePerno,1109
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,LIB,Joseph W. McHugh Jr.,36
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,UST,Gerald T. Van Sickle,8
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Cast Votes,1975
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Undervotes,65
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Absentee,1073
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Election,968
Livingston,"Brighton Charter Township,Precinct 9",Attorney General,,,Total,2041
Livingston,"Cohoctah Township, Precinct1",Attorney General,,DEM,Dana Nessel,538
Livingston,"Cohoctah Township, Precinct1",Attorney General,,REP,Matthew DePerno,1217
Livingston,"Cohoctah Township, Precinct1",Attorney General,,LIB,Joseph W. McHugh Jr.,32
Livingston,"Cohoctah Township, Precinct1",Attorney General,,UST,Gerald T. Van Sickle,19
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Cast Votes,1806
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Undervotes,54
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Overvotes,0
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Rejected,1
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Unassigned,0
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Absentee,682
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Election,1179
Livingston,"Cohoctah Township, Precinct1",Attorney General,,,Total,1861
Livingston,"Conway Township, Precinct 1",Attorney General,,DEM,Dana Nessel,523
Livingston,"Conway Township, Precinct 1",Attorney General,,REP,Matthew DePerno,1251
Livingston,"Conway Township, Precinct 1",Attorney General,,LIB,Joseph W. McHugh Jr.,29
Livingston,"Conway Township, Precinct 1",Attorney General,,UST,Gerald T. Van Sickle,19
Livingston,"Conway Township, Precinct 1",Attorney General,,,Cast Votes,1822
Livingston,"Conway Township, Precinct 1",Attorney General,,,Undervotes,48
Livingston,"Conway Township, Precinct 1",Attorney General,,,Overvotes,0
Livingston,"Conway Township, Precinct 1",Attorney General,,,Rejected,2
Livingston,"Conway Township, Precinct 1",Attorney General,,,Unassigned,0
Livingston,"Conway Township, Precinct 1",Attorney General,,,Absentee,580
Livingston,"Conway Township, Precinct 1",Attorney General,,,Election,1292
Livingston,"Conway Township, Precinct 1",Attorney General,,,Total,1872
Livingston,"Deerfield Township, Precinct 1",Attorney General,,DEM,Dana Nessel,391
Livingston,"Deerfield Township, Precinct 1",Attorney General,,REP,Matthew DePerno,686
Livingston,"Deerfield Township, Precinct 1",Attorney General,,LIB,Joseph W. McHugh Jr.,11
Livingston,"Deerfield Township, Precinct 1",Attorney General,,UST,Gerald T. Van Sickle,8
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Cast Votes,1096
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Undervotes,33
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Overvotes,0
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Rejected,0
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Unassigned,0
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Absentee,417
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Election,712
Livingston,"Deerfield Township, Precinct 1",Attorney General,,,Total,1129
Livingston,"Deerfield Township, Precinct 2",Attorney General,,DEM,Dana Nessel,351
Livingston,"Deerfield Township, Precinct 2",Attorney General,,REP,Matthew DePerno,844
Livingston,"Deerfield Township, Precinct 2",Attorney General,,LIB,Joseph W. McHugh Jr.,21
Livingston,"Deerfield Township, Precinct 2",Attorney General,,UST,Gerald T. Van Sickle,10
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Cast Votes,1226
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Undervotes,35
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Overvotes,0
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Rejected,0
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Unassigned,0
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Absentee,426
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Election,835
Livingston,"Deerfield Township, Precinct 2",Attorney General,,,Total,1261
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,DEM,Dana Nessel,563
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,REP,Matthew DePerno,675
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,LIB,Joseph W. McHugh Jr.,14
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,UST,Gerald T. Van Sickle,7
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Cast Votes,1259
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Undervotes,42
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Absentee,571
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Election,730
Livingston,"Genoa Charter Township,Precinct 1",Attorney General,,,Total,1301
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,DEM,Dana Nessel,254
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,REP,Matthew DePerno,325
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,LIB,Joseph W. McHugh Jr.,12
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,UST,Gerald T. Van Sickle,2
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Cast Votes,593
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Undervotes,17
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Absentee,204
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Election,406
Livingston,"Genoa Charter Township,Precinct 2",Attorney General,,,Total,610
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,DEM,Dana Nessel,547
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,REP,Matthew DePerno,619
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,LIB,Joseph W. McHugh Jr.,21
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,UST,Gerald T. Van Sickle,10
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Cast Votes,1197
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Undervotes,30
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Absentee,558
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Election,670
Livingston,"Genoa Charter Township,Precinct 3",Attorney General,,,Total,1228
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,DEM,Dana Nessel,516
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,REP,Matthew DePerno,515
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,LIB,Joseph W. McHugh Jr.,26
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,UST,Gerald T. Van Sickle,1
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Cast Votes,1058
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Undervotes,28
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Absentee,546
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Election,541
Livingston,"Genoa Charter Township,Precinct 4",Attorney General,,,Total,1087
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,DEM,Dana Nessel,266
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,REP,Matthew DePerno,447
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,LIB,Joseph W. McHugh Jr.,14
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,UST,Gerald T. Van Sickle,3
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Cast Votes,730
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Undervotes,19
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Absentee,273
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Election,477
Livingston,"Genoa Charter Township,Precinct 5",Attorney General,,,Total,750
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,DEM,Dana Nessel,686
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,REP,Matthew DePerno,1063
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,LIB,Joseph W. McHugh Jr.,18
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,UST,Gerald T. Van Sickle,5
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Cast Votes,1772
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Undervotes,42
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Absentee,1064
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Election,751
Livingston,"Genoa Charter Township,Precinct 6",Attorney General,,,Total,1815
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,DEM,Dana Nessel,390
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,REP,Matthew DePerno,502
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,LIB,Joseph W. McHugh Jr.,8
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,UST,Gerald T. Van Sickle,4
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Cast Votes,904
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Undervotes,20
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Absentee,429
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Election,495
Livingston,"Genoa Charter Township,Precinct 7",Attorney General,,,Total,924
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,DEM,Dana Nessel,432
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,REP,Matthew DePerno,626
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,LIB,Joseph W. McHugh Jr.,13
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,UST,Gerald T. Van Sickle,2
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Cast Votes,1073
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Undervotes,28
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Absentee,601
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Election,501
Livingston,"Genoa Charter Township,Precinct 8",Attorney General,,,Total,1102
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,DEM,Dana Nessel,432
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,REP,Matthew DePerno,563
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,LIB,Joseph W. McHugh Jr.,19
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,UST,Gerald T. Van Sickle,6
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Cast Votes,1020
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Undervotes,40
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Rejected,2
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Absentee,509
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Election,554
Livingston,"Genoa Charter Township,Precinct 9",Attorney General,,,Total,1063
