county,precinct,office,district,party,candidate,votes
Livingston,"Brighton Charter Township,Precinct 4",U.S. House,7,,Election,566
Livingston,"Brighton Charter Township,Precinct 4",U.S. House,7,,Total,1056
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,DEM,Elissa Slotkin,296
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,REP,Tom Barrett,363
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,LIB,Leah R. Dailey,15
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Cast Votes,674
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Undervotes,10
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Absentee,260
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Election,424
Livingston,"Brighton Charter Township,Precinct 5",U.S. House,7,,Total,684
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,DEM,Elissa Slotkin,780
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,REP,Tom Barrett,1041
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,LIB,Leah R. Dailey,21
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Cast Votes,1842
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Undervotes,34
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Overvotes,4
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Absentee,832
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Election,1048
Livingston,"Brighton Charter Township,Precinct 6",U.S. House,7,,Total,1880
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,DEM,Elissa Slotkin,557
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,REP,Tom Barrett,780
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,LIB,Leah R. Dailey,23
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Cast Votes,1360
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Undervotes,21
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Rejected,1
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Absentee,659
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Election,724
Livingston,"Brighton Charter Township,Precinct 7",U.S. House,7,,Total,1383
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,DEM,Elissa Slotkin,840
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,REP,Tom Barrett,1134
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,LIB,Leah R. Dailey,38
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Cast Votes,2012
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Undervotes,29
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Absentee,1073
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Election,968
Livingston,"Brighton Charter Township,Precinct 9",U.S. House,7,,Total,2041
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,DEM,Elissa Slotkin,551
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,REP,Tom Barrett,1236
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,LIB,Leah R. Dailey,38
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Cast Votes,1825
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Undervotes,32
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Overvotes,1
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Rejected,3
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Unassigned,0
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Absentee,682
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Election,1179
Livingston,"Cohoctah Township, Precinct1",U.S. House,7,,Total,1861
Livingston,"Conway Township, Precinct 1",U.S. House,7,DEM,Elissa Slotkin,542
Livingston,"Conway Township, Precinct 1",U.S. House,7,REP,Tom Barrett,1268
Livingston,"Conway Township, Precinct 1",U.S. House,7,LIB,Leah R. Dailey,41
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Cast Votes,1851
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Undervotes,20
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Overvotes,0
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Rejected,1
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Unassigned,0
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Absentee,580
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Election,1292
Livingston,"Conway Township, Precinct 1",U.S. House,7,,Total,1872
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,DEM,Elissa Slotkin,382
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,REP,Tom Barrett,711
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,LIB,Leah R. Dailey,12
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Cast Votes,1105
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Undervotes,23
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Overvotes,0
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Rejected,1
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Unassigned,0
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Absentee,417
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Election,712
Livingston,"Deerfield Township, Precinct 1",U.S. House,7,,Total,1129
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,DEM,Elissa Slotkin,343
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,REP,Tom Barrett,870
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,LIB,Leah R. Dailey,25
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Cast Votes,1238
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Undervotes,21
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Overvotes,1
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Rejected,1
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Unassigned,0
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Absentee,426
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Election,835
Livingston,"Deerfield Township, Precinct 2",U.S. House,7,,Total,1261
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,DEM,Elissa Slotkin,569
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,REP,Tom Barrett,699
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,LIB,Leah R. Dailey,22
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Cast Votes,1290
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Undervotes,10
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Absentee,571
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Election,730
Livingston,"Genoa Charter Township,Precinct 1",U.S. House,7,,Total,1301
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,DEM,Elissa Slotkin,257
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,REP,Tom Barrett,323
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,LIB,Leah R. Dailey,14
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Cast Votes,594
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Undervotes,16
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Absentee,204
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Election,406
Livingston,"Genoa Charter Township,Precinct 2",U.S. House,7,,Total,610
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,DEM,Elissa Slotkin,536
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,REP,Tom Barrett,648
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,LIB,Leah R. Dailey,26
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Cast Votes,1210
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Undervotes,15
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Rejected,2
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Absentee,558
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Election,670
Livingston,"Genoa Charter Township,Precinct 3",U.S. House,7,,Total,1228
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,DEM,Elissa Slotkin,522
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,REP,Tom Barrett,527
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,LIB,Leah R. Dailey,20
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Cast Votes,1069
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Undervotes,17
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Absentee,546
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Election,541
Livingston,"Genoa Charter Township,Precinct 4",U.S. House,7,,Total,1087
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,DEM,Elissa Slotkin,261
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,REP,Tom Barrett,467
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,LIB,Leah R. Dailey,15
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Cast Votes,743
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Undervotes,6
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Absentee,273
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Election,477
Livingston,"Genoa Charter Township,Precinct 5",U.S. House,7,,Total,750
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,DEM,Elissa Slotkin,673
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,REP,Tom Barrett,1112
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,LIB,Leah R. Dailey,16
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Cast Votes,1801
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Undervotes,14
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Absentee,1064
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Election,751
Livingston,"Genoa Charter Township,Precinct 6",U.S. House,7,,Total,1815
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,DEM,Elissa Slotkin,398
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,REP,Tom Barrett,502
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,LIB,Leah R. Dailey,16
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Cast Votes,916
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Undervotes,7
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Absentee,429
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Election,495
Livingston,"Genoa Charter Township,Precinct 7",U.S. House,7,,Total,924
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,DEM,Elissa Slotkin,422
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,REP,Tom Barrett,603
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,LIB,Leah R. Dailey,12
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Cast Votes,1037
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Undervotes,24
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Rejected,2
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Absentee,509
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Election,554
Livingston,"Genoa Charter Township,Precinct 9",U.S. House,7,,Total,1063
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,DEM,Elissa Slotkin,424
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,REP,Tom Barrett,705
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,LIB,Leah R. Dailey,14
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,,Cast Votes,1143
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,,Undervotes,16
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 10",U.S. House,7,,Rejected,0
